time [s],id,pos_x,pos_y,angle [deg],speed [m/s]
19.0,2,12149.24,5070.64,172.91,5.03
19.0,3,11343.71,5025.35,232.01,7.89
19.0,4,10688.69,4991.25,65.79,12.29
19.0,5,12095.19,5307.51,193.06,2.47
19.0,6,11097.39,5771.66,184.39,8.08
19.0,7,11954.08,5415.47,307.04,8.66
19.0,8,12095.08,5470.76,9.95,12.11
19.0,9,10882.97,5718.03,93.61,7.03
20.0,0,11760.39,5481.54,73.86,11.36
20.0,1,10873.55,5464.93,64.15,11.0
20.0,2,12150.06,5064.02,172.91,6.67
20.0,3,11335.51,5018.94,232.01,10.41
20.0,4,10701.35,4996.95,65.79,13.89
20.0,5,12094.08,5302.74,193.1,4.9
20.0,6,11102.42,5766.01,125.43,8.03
20.0,7,11945.51,5421.91,306.97,10.72
20.0,8,12097.31,5483.44,9.95,12.88
20.0,9,10890.93,5716.67,75.08,7.29
21.0,0,11772.49,5486.23,68.0,12.99
21.0,1,10880.12,5468.11,64.15,7.3
21.0,2,12151.12,5055.55,172.91,8.54
21.0,3,11325.46,5011.09,232.01,12.76
21.0,4,10714.26,5002.74,65.96,14.14
21.0,5,12092.39,5295.48,193.11,7.45
21.0,6,11110.13,5763.8,104.21,8.04
21.0,7,11936.36,5428.46,304.92,11.26
21.0,8,12099.49,5495.84,9.95,12.59
21.0,9,10900.42,5719.19,75.08,9.82
22.0,0,11786.21,5491.53,70.6,14.72
22.0,1,10886.88,5471.92,58.67,7.78
22.0,2,12152.36,5045.58,172.91,10.05
22.0,3,11313.91,5002.07,232.01,14.65
22.0,4,10726.35,5008.04,66.35,13.21
22.0,5,12090.23,5286.36,193.52,9.37
22.0,6,11120.4,5761.2,104.21,10.59
22.0,7,11927.18,5434.87,304.92,11.19
22.0,8,12101.53,5507.48,9.95,11.82
22.0,9,10911.85,5722.18,75.69,11.81
23.0,0,11797.48,5495.21,71.94,11.86
23.0,1,10890.14,5478.33,20.39,7.41
23.0,2,12153.89,5033.28,172.9,12.39
23.0,3,11303.27,4993.29,227.79,13.81
23.0,4,10734.58,5009.19,93.21,8.71
23.0,5,12087.66,5275.91,193.8,10.76
23.0,6,11132.66,5758.1,104.21,12.65
23.0,7,11917.94,5441.31,304.92,11.26
23.0,8,12103.56,5519.07,9.95,11.77
23.0,9,10925.71,5725.38,77.31,14.23
24.0,0,11805.03,5497.9,69.84,8.02
24.0,1,10888.66,5485.72,346.67,7.56
24.0,2,12154.68,5024.71,176.07,8.61
24.0,3,11292.83,4983.75,227.58,14.14
24.0,4,10739.15,5004.02,143.64,6.99
24.0,5,12084.66,5264.36,194.61,0.0
24.0,6,11143.73,5755.29,104.21,11.42
24.0,7,11908.22,5448.55,307.26,12.11
24.0,8,12105.77,5531.63,9.95,12.75
24.0,9,10940.97,5728.47,78.53,15.57
25.0,0,11808.93,5499.33,69.84,4.15
25.0,1,10885.99,5495.25,344.33,9.9
25.0,2,12154.87,5020.61,177.24,4.11
25.0,3,11282.17,4974.01,227.58,14.44
25.0,4,10744.0,4996.24,148.03,9.17
25.0,5,12084.16,5262.44,194.63,1.98
25.0,6,11150.59,5753.76,101.86,7.09
25.0,7,11900.66,5454.3,307.26,9.5
25.0,8,12107.99,5543.38,11.76,11.97
25.0,9,10958.66,5732.06,78.53,18.05
26.0,0,11814.45,5501.59,67.31,5.97
26.0,1,10882.62,5507.26,344.33,12.47
26.0,2,12156.54,5014.59,161.92,6.35
26.0,3,11274.83,4967.31,227.58,9.94
26.0,4,10747.69,4990.33,148.03,6.97
26.0,5,12083.02,5258.09,194.66,4.5
26.0,6,11158.02,5756.52,71.91,7.93
26.0,7,11896.43,5455.27,282.98,5.0
26.0,8,12111.8,5554.56,18.8,11.82
26.0,9,10978.66,5735.71,80.2,20.34
27.0,0,11821.69,5505.37,61.67,8.17
27.0,1,10879.31,5519.06,344.33,12.25
27.0,2,12163.2,5011.12,107.56,7.87
27.0,3,11269.94,4962.84,227.58,6.63
27.0,4,10753.12,4982.99,141.47,9.14
27.0,5,12081.47,5252.16,194.66,6.13
27.0,6,11164.39,5755.1,112.34,7.18
27.0,7,11891.14,5453.45,251.49,5.61
27.0,8,12115.72,5566.06,18.82,12.15
27.0,9,11000.4,5739.28,80.67,22.03
28.0,0,11829.9,5511.77,46.76,10.47
28.0,1,10875.98,5531.24,345.25,12.63
28.0,2,12171.36,5010.83,91.52,8.17
28.0,3,11268.76,4960.63,216.23,3.18
28.0,4,10760.8,4976.43,127.67,10.14
28.0,5,12079.52,5244.73,194.69,7.68
28.0,6,11165.32,5747.64,180.88,7.79
28.0,7,11885.65,5455.53,295.87,6.21
28.0,8,12119.63,5577.53,18.82,12.12
28.0,9,11018.32,5738.99,80.66,0.0
29.0,0,11837.09,5521.62,35.46,12.2
29.0,1,10872.9,5542.95,345.25,12.1
29.0,2,12179.67,5010.61,91.52,8.32
29.0,3,11271.02,4959.23,139.99,3.31
29.0,4,10769.69,4974.38,86.59,9.68
29.0,5,12077.08,5234.8,193.47,10.23
29.0,6,11163.87,5737.54,188.19,10.21
29.0,7,11882.23,5460.86,328.86,6.35
29.0,8,12123.61,5588.59,21.06,11.76
29.0,9,11020.79,5739.34,81.25,2.55
30.0,0,11845.4,5533.3,35.46,14.33
30.0,1,10869.89,5554.37,345.25,11.81
30.0,2,12185.47,5010.45,91.52,5.8
30.0,3,11274.6,4962.35,48.95,4.75
30.0,4,10780.2,4980.73,58.88,12.28
30.0,5,12074.47,5223.45,192.31,11.65
30.0,6,11162.73,5729.59,188.16,0.0
30.0,7,11878.2,5467.54,328.86,7.81
30.0,8,12128.26,5600.67,21.06,12.94
30.0,9,11025.22,5739.68,85.36,4.55
31.0,0,11853.1,5544.33,34.38,13.45
31.0,1,10866.81,5566.07,345.25,12.1
31.0,2,12187.56,5011.83,73.46,2.68
31.0,3,11280.14,4967.18,48.95,7.35
31.0,4,10779.16,4991.68,334.83,13.69
31.0,5,12071.57,5209.93,191.99,13.83
31.0,6,11162.11,5728.1,192.82,1.61
31.0,7,11872.5,5476.04,325.41,10.24
31.0,8,12131.72,5609.65,21.06,9.63
31.0,9,11030.87,5738.66,101.82,5.88
32.0,0,11860.78,5555.61,34.25,13.65
32.0,1,10863.59,5578.28,345.25,12.63
32.0,2,12185.81,5013.65,357.48,2.8
32.0,3,11282.25,4969.83,41.68,3.52
32.0,4,10773.58,5003.56,334.83,13.13
32.0,5,12068.29,5194.39,191.86,15.88
32.0,6,11159.38,5725.64,221.91,3.82
32.0,7,11868.55,5487.15,341.94,11.83
32.0,8,12133.56,5614.43,21.06,5.13
32.0,9,11038.32,5736.67,105.05,7.83
33.0,0,11868.35,5566.81,34.02,13.52
33.0,1,10860.46,5590.23,345.4,12.36
33.0,2,12181.48,5013.76,274.06,4.33
33.0,3,11280.49,4971.26,346.57,2.93
33.0,4,10769.9,5011.38,334.83,8.63
33.0,5,12064.25,5177.21,193.65,17.66
33.0,6,11153.21,5725.31,268.59,6.24
33.0,7,11861.44,5495.75,311.4,11.5
33.0,8,12134.13,5615.91,21.06,1.58
33.0,9,11047.77,5734.13,105.05,9.91
34.0,0,11874.65,5576.14,34.02,11.26
34.0,1,10857.24,5602.66,345.49,12.84
34.0,2,12175.79,5013.91,271.52,5.7
34.0,3,11277.37,4969.02,241.63,3.93
34.0,4,10767.88,5015.69,334.83,4.76
34.0,5,12060.01,5159.74,193.65,17.97
34.0,6,11145.82,5726.34,278.94,7.64
34.0,7,11852.83,5504.46,316.91,12.26
