time [s],id,pos_x,pos_y,angle [deg],speed [m/s]
55.0,5,198.4,30.81,180.0,10.73
55.0,6,104.71,176.24,164.99,8.91
55.0,7,152.32,229.38,300.0,11.85
55.0,8,390.17,157.13,15.0,12.49
55.0,9,109.06,160.03,164.99,5.51
56.0,0,194.59,299.97,265.28,9.65
56.0,1,161.9,288.13,76.6,7.18
56.0,2,66.99,337.94,45.0,13.34
56.0,3,104.07,209.03,5.33,6.02
56.0,4,381.12,135.74,195.0,13.74
56.0,5,198.4,19.65,180.0,11.16
56.0,6,106.4,169.93,164.99,6.54
56.0,7,142.12,235.26,300.0,11.77
56.0,8,393.43,169.3,15.0,12.6
56.0,9,111.06,154.39,159.59,6.01
57.0,0,183.89,297.34,254.99,11.03
57.0,1,171.06,290.59,74.99,9.49
57.0,2,76.39,347.34,45.0,13.28
57.0,3,106.2,216.96,15.01,8.21
57.0,4,377.62,122.69,195.0,13.51
57.0,5,198.4,12.52,180.0,7.12
57.0,6,108.18,163.3,164.99,6.87
57.0,7,132.21,240.98,300.0,11.45
57.0,8,396.79,181.84,15.0,12.99
57.0,9,115.93,151.18,116.21,6.28
58.0,0,170.89,293.86,254.99,13.45
58.0,1,182.33,293.61,74.99,11.67
58.0,2,85.98,356.93,45.0,13.57
58.0,3,108.76,226.51,15.01,9.89
58.0,4,375.18,113.56,195.0,9.45
58.0,5,198.39,8.07,180.16,4.45
58.0,6,109.42,158.68,164.99,4.77
58.0,7,124.41,245.49,300.0,9.01
58.0,8,399.21,190.89,15.0,9.37
58.0,9,121.47,152.82,69.88,5.89
59.0,0,162.25,291.54,254.99,8.95
59.0,1,189.26,295.47,74.99,7.17
59.0,2,95.03,365.98,45.0,12.8
59.0,3,111.05,235.06,15.01,8.85
59.0,4,373.78,108.35,195.0,5.4
59.0,5,196.89,3.99,198.18,4.48
59.0,6,109.98,152.04,178.16,6.74
59.0,7,120.58,247.84,301.45,4.51
59.0,8,399.65,196.89,2.15,6.11
59.0,9,128.33,156.77,60.0,7.92
60.0,0,157.94,290.38,254.99,4.45
60.0,1,193.89,296.5,77.23,4.76
60.0,2,106.16,373.04,65.97,13.29
60.0,3,112.28,239.64,15.01,4.74
60.0,4,369.85,104.55,231.08,6.02
60.0,5,192.65,3.64,259.67,4.37
60.0,6,105.13,147.08,232.67,7.18
60.0,7,118.68,252.22,337.99,5.24
60.0,8,395.9,201.02,313.55,5.91
60.0,9,136.87,161.71,60.0,9.87
61.0,0,151.75,290.07,269.29,6.28
61.0,1,198.1,293.91,126.38,5.6
61.0,2,119.09,376.66,75.0,13.43
61.0,3,114.91,244.98,28.79,6.12
61.0,4,364.55,106.84,296.3,5.85
61.0,5,188.97,4.61,282.85,3.81
61.0,6,96.99,142.38,240.0,9.4
61.0,7,121.96,256.3,40.38,5.3
61.0,8,389.92,201.6,275.05,6.02
61.0,9,147.15,167.64,60.0,11.86
